,Psi,r(Psi),f_mu(Psi),f_sigma(Psi)
311,3.7632832832832834,-0.4018252728427892,-1.7485070143374755,2.243089874591139
312,3.7752552552552556,-0.4039769963530747,-1.7635421297049556,2.2467566867605187
313,3.787227227227228,-0.40612067757986114,-1.7786046586219684,2.2504203271979915
314,3.7991991991991996,-0.4082563716060702,-1.7936945336261083,2.2540808046642056
315,3.8111711711711713,-0.4103841329680076,-1.8088116875875275,2.2577381278847253
316,3.8231431431431435,-0.41250401566246064,-1.8239560537064672,2.2613923055501277
317,3.8351151151151157,-0.4146160731536839,-1.8391275655108286,2.2650433463161064
318,3.8470870870870875,-0.41672035838027394,-1.8543261568537779,2.2686912588035866
319,3.859059059059059,-0.418816923761933,-1.8695517619113555,2.2723360515988276
320,3.8710310310310314,-0.42090582120612585,-1.8848043151801241,2.2759777332535363
